Size, Type, Time
100, "Sequential", 0.000011
100, "Parallel", 0.023028
100, "Built-in", 0.000011
100, "Sequential", 0.000011
100, "Parallel", 0.015482
100, "Built-in", 0.000011
100, "Sequential", 0.000010
100, "Parallel", 0.014306
100, "Built-in", 0.000011
100, "Sequential", 0.000011
100, "Parallel", 0.011953
100, "Built-in", 0.000011
100, "Sequential", 0.000011
100, "Parallel", 0.012254
100, "Built-in", 0.000012
100000, "Sequential", 0.023477
100000, "Parallel", 0.067212
100000, "Built-in", 0.022359
100000, "Sequential", 0.023647
100000, "Parallel", 0.055900
100000, "Built-in", 0.022078
100000, "Sequential", 0.023817
100000, "Parallel", 0.061470
100000, "Built-in", 0.022668
100000, "Sequential", 0.023779
100000, "Parallel", 0.073230
100000, "Built-in", 0.022286
100000, "Sequential", 0.023627
100000, "Parallel", 0.062123
100000, "Built-in", 0.021689
200000, "Sequential", 0.048775
200000, "Parallel", 0.088345
200000, "Built-in", 0.045944
200000, "Sequential", 0.048490
200000, "Parallel", 0.078871
200000, "Built-in", 0.047350
200000, "Sequential", 0.049374
200000, "Parallel", 0.083376
200000, "Built-in", 0.045663
200000, "Sequential", 0.047392
200000, "Parallel", 0.078205
200000, "Built-in", 0.044017
200000, "Sequential", 0.046079
200000, "Parallel", 0.081877
200000, "Built-in", 0.046195
300000, "Sequential", 0.074630
300000, "Parallel", 0.087180
300000, "Built-in", 0.068476
300000, "Sequential", 0.072901
300000, "Parallel", 0.105241
300000, "Built-in", 0.081253
300000, "Sequential", 0.088636
300000, "Parallel", 0.104409
300000, "Built-in", 0.077815
300000, "Sequential", 0.073184
300000, "Parallel", 0.087533
300000, "Built-in", 0.075074
300000, "Sequential", 0.075883
300000, "Parallel", 0.094192
300000, "Built-in", 0.074988
400000, "Sequential", 0.106137
400000, "Parallel", 0.114548
400000, "Built-in", 0.116964
400000, "Sequential", 0.093594
400000, "Parallel", 0.104677
400000, "Built-in", 0.096694
400000, "Sequential", 0.090834
400000, "Parallel", 0.134722
400000, "Built-in", 0.107987
400000, "Sequential", 0.106291
400000, "Parallel", 0.131222
400000, "Built-in", 0.115523
400000, "Sequential", 0.114173
400000, "Parallel", 0.102324
400000, "Built-in", 0.090123
500000, "Sequential", 0.124648
500000, "Parallel", 0.112093
500000, "Built-in", 0.113090
500000, "Sequential", 0.121877
500000, "Parallel", 0.115631
500000, "Built-in", 0.113282
500000, "Sequential", 0.121244
500000, "Parallel", 0.120646
500000, "Built-in", 0.108645
500000, "Sequential", 0.116688
500000, "Parallel", 0.132933
500000, "Built-in", 0.138357
500000, "Sequential", 0.117324
500000, "Parallel", 0.108253
500000, "Built-in", 0.115530
600000, "Sequential", 0.139911
600000, "Parallel", 0.213400
600000, "Built-in", 0.133993
600000, "Sequential", 0.144368
600000, "Parallel", 0.147535
600000, "Built-in", 0.141827
600000, "Sequential", 0.176051
600000, "Parallel", 0.128770
600000, "Built-in", 0.133687
600000, "Sequential", 0.154602
600000, "Parallel", 0.128438
600000, "Built-in", 0.134598
600000, "Sequential", 0.173199
600000, "Parallel", 0.163791
600000, "Built-in", 0.135347
700000, "Sequential", 0.168571
700000, "Parallel", 0.148229
700000, "Built-in", 0.162885
700000, "Sequential", 0.157615
700000, "Parallel", 0.135168
700000, "Built-in", 0.153759
700000, "Sequential", 0.156617
700000, "Parallel", 0.139380
700000, "Built-in", 0.159632
700000, "Sequential", 0.168790
700000, "Parallel", 0.209701
700000, "Built-in", 0.164165
700000, "Sequential", 0.158723
700000, "Parallel", 0.163378
700000, "Built-in", 0.160380
800000, "Sequential", 0.202018
800000, "Parallel", 0.251967
800000, "Built-in", 0.187463
800000, "Sequential", 0.192333
800000, "Parallel", 0.198699
800000, "Built-in", 0.216130
800000, "Sequential", 0.211642
800000, "Parallel", 0.177788
800000, "Built-in", 0.190908
800000, "Sequential", 0.211430
800000, "Parallel", 0.153733
800000, "Built-in", 0.188029
800000, "Sequential", 0.191032
800000, "Parallel", 0.186962
800000, "Built-in", 0.185911
900000, "Sequential", 0.281337
900000, "Parallel", 0.350251
900000, "Built-in", 0.269590
900000, "Sequential", 0.220106
900000, "Parallel", 0.212924
900000, "Built-in", 0.256523
900000, "Sequential", 0.335918
900000, "Parallel", 0.228407
900000, "Built-in", 0.226352
900000, "Sequential", 0.277741
900000, "Parallel", 0.192211
900000, "Built-in", 0.210156
900000, "Sequential", 0.215277
900000, "Parallel", 0.168066
900000, "Built-in", 0.201291
1000000, "Sequential", 0.275991
1000000, "Parallel", 0.206326
1000000, "Built-in", 0.228188
1000000, "Sequential", 0.262941
1000000, "Parallel", 0.222475
1000000, "Built-in", 0.255282
1000000, "Sequential", 0.299087
1000000, "Parallel", 0.187395
1000000, "Built-in", 0.232127
1000000, "Sequential", 0.235611
1000000, "Parallel", 0.231560
1000000, "Built-in", 0.233080
1000000, "Sequential", 0.230758
1000000, "Parallel", 0.196209
1000000, "Built-in", 0.232288
