Size, Seq, Par, Libc
100, 0.000011, 0.023028, 0.000011
100, 0.000011, 0.015482, 0.000011
100, 0.000010, 0.014306, 0.000011
100, 0.000011, 0.011953, 0.000011
100, 0.000011, 0.012254, 0.000012
100000, 0.023477, 0.067212, 0.022359
100000, 0.023647, 0.055900, 0.022078
100000, 0.023817, 0.061470, 0.022668
100000, 0.023779, 0.073230, 0.022286
100000, 0.023627, 0.062123, 0.021689
200000, 0.048775, 0.088345, 0.045944
200000, 0.048490, 0.078871, 0.047350
200000, 0.049374, 0.083376, 0.045663
200000, 0.047392, 0.078205, 0.044017
200000, 0.046079, 0.081877, 0.046195
300000, 0.074630, 0.087180, 0.068476
300000, 0.072901, 0.105241, 0.081253
300000, 0.088636, 0.104409, 0.077815
300000, 0.073184, 0.087533, 0.075074
300000, 0.075883, 0.094192, 0.074988
400000, 0.106137, 0.114548, 0.116964
400000, 0.093594, 0.104677, 0.096694
400000, 0.090834, 0.134722, 0.107987
400000, 0.106291, 0.131222, 0.115523
400000, 0.114173, 0.102324, 0.090123
500000, 0.124648, 0.112093, 0.113090
500000, 0.121877, 0.115631, 0.113282
500000, 0.121244, 0.120646, 0.108645
500000, 0.116688, 0.132933, 0.138357
500000, 0.117324, 0.108253, 0.115530
600000, 0.139911, 0.213400, 0.133993
600000, 0.144368, 0.147535, 0.141827
600000, 0.176051, 0.128770, 0.133687
600000, 0.154602, 0.128438, 0.134598
600000, 0.173199, 0.163791, 0.135347
700000, 0.168571, 0.148229, 0.162885
700000, 0.157615, 0.135168, 0.153759
700000, 0.156617, 0.139380, 0.159632
700000, 0.168790, 0.209701, 0.164165
700000, 0.158723, 0.163378, 0.160380
800000, 0.202018, 0.251967, 0.187463
800000, 0.192333, 0.198699, 0.216130
800000, 0.211642, 0.177788, 0.190908
800000, 0.211430, 0.153733, 0.188029
800000, 0.191032, 0.186962, 0.185911
900000, 0.281337, 0.350251, 0.269590
900000, 0.220106, 0.212924, 0.256523
900000, 0.335918, 0.228407, 0.226352
900000, 0.277741, 0.192211, 0.210156
900000, 0.215277, 0.168066, 0.201291
1000000, 0.275991, 0.206326, 0.228188
1000000, 0.262941, 0.222475, 0.255282
1000000, 0.299087, 0.187395, 0.232127
1000000, 0.235611, 0.231560, 0.233080
1000000, 0.230758, 0.196209, 0.232288
